id,name,rating,release_date,duration,description
1,Life Is Beautiful,"8.6/10                    
                    625,778
                        
                                1,359 user
                                155 critic
                        
            

  Rate This123456789100",12 February 1999 (UK),1h 56min,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
2,2001: A Space Odyssey,"8.3/10                    
                    605,268
                        
                                2,254 user
                                271 critic
                        
            

  Rate This123456789100",12 May 1968 (UK),2h 29min,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
3,Ben-Hur,"8.1/10                    
                    220,008
                        
                                462 user
                                133 critic
                        
            

  Rate This123456789100",27 March 1960 (UK),3h 32min,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
4,Psycho,"8.5/10                    
                    606,040
                        
                                1,356 user
                                247 critic
                        
            

  Rate This123456789100",15 September 1960 (UK),1h 49min,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
5,Neon Genesis Evangelion: The End of Evangelion,"8.1/10                    
                    39,266
                        
                                189 user
                                16 critic
                        
            

  Rate This123456789100",2005 (Germany),1h 27min,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
6,Eternal Sunshine of the Spotless Mind,"8.3/10                    
                    914,210
                        
                                1,866 user
                                303 critic
                        
            

  Rate This123456789100",30 April 2004 (UK),1h 48min,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
7,The Battle of Algiers,"8.1/10                    
                    53,330
                        
                                297 user
                                151 critic
                        
            

  Rate This123456789100",18 March 1971 (UK),2h 1min,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
8,The Treasure of the Sierra Madre,"8.2/10                    
                    114,643
                        
                                285 user
                                102 critic
                        
            

  Rate This123456789100",24 January 1948 (USA),2h 6min,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
9,Coco,"8.4/10                    
                    387,585
                        
                                1,181 user
                                411 critic
                        
            

  Rate This123456789100",19 January 2018 (UK),1h 45min,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
10,Seven Samurai,"8.6/10                    
                    316,691
                        
                                741 user
                                136 critic
                        
            

  Rate This123456789100",26 April 1954 (Japan),3h 27min,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
11,Hacksaw Ridge,"8.1/10                    
                    438,156
                        
                                955 user
                                473 critic
                        
            

  Rate This123456789100",26 January 2017 (UK),2h 19min,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
12,City of God,"8.6/10                    
                    700,902
                        
                                1,042 user
                                228 critic
                        
            

  Rate This123456789100",3 January 2003 (UK),2h 10min,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
