web-scraper-order,web-scraper-start-url,name,name-href,rating,release_date,duration,description
"1613480126-1231","https://www.imdb.com/chart/top?ref_=nv_mv_250","Life Is Beautiful","https://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21","8.6/10                    
                    625,778
                        
                                1,359 user
                                155 critic
                        
            

  Rate This123456789100","12 February 1999 (UK)","1h 56min","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
"1613479894-1162","https://www.imdb.com/chart/top?ref_=nv_mv_250","2001: A Space Odyssey","https://www.imdb.com/title/tt0062622/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_90","8.3/10                    
                    605,268
                        
                                2,254 user
                                271 critic
                        
            

  Rate This123456789100","12 May 1968 (UK)","2h 29min","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
"1613479498-1039","https://www.imdb.com/chart/top?ref_=nv_mv_250","Ben-Hur","https://www.imdb.com/title/tt0052618/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213","8.1/10                    
                    220,008
                        
                                462 user
                                133 critic
                        
            

  Rate This123456789100","27 March 1960 (UK)","3h 32min","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
"1613480062-1211","https://www.imdb.com/chart/top?ref_=nv_mv_250","Psycho","https://www.imdb.com/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_41","8.5/10                    
                    606,040
                        
                                1,356 user
                                247 critic
                        
            

  Rate This123456789100","15 September 1960 (UK)","1h 49min","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
"1613479355-1004","https://www.imdb.com/chart/top?ref_=nv_mv_250","Neon Genesis Evangelion: The End of Evangelion","https://www.imdb.com/title/tt0169858/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_248","8.1/10                    
                    39,266
                        
                                189 user
                                16 critic
                        
            

  Rate This123456789100","2005 (Germany)","1h 27min","Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995)."
"1613479879-1157","https://www.imdb.com/chart/top?ref_=nv_mv_250","Eternal Sunshine of the Spotless Mind","https://www.imdb.com/title/tt0338013/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_95","8.3/10                    
                    914,210
                        
                                1,866 user
                                303 critic
                        
            

  Rate This123456789100","30 April 2004 (UK)","1h 48min","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
"1613479358-1005","https://www.imdb.com/chart/top?ref_=nv_mv_250","The Battle of Algiers","https://www.imdb.com/title/tt0058946/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_247","8.1/10                    
                    53,330
                        
                                297 user
                                151 critic
                        
            

  Rate This123456789100","18 March 1971 (UK)","2h 1min","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
"1613479706-1103","https://www.imdb.com/chart/top?ref_=nv_mv_250","The Treasure of the Sierra Madre","https://www.imdb.com/title/tt0040897/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149","8.2/10                    
                    114,643
                        
                                285 user
                                102 critic
                        
            

  Rate This123456789100","24 January 1948 (USA)","2h 6min","Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains."
"1613479944-1177","https://www.imdb.com/chart/top?ref_=nv_mv_250","Coco","https://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_75","8.4/10                    
                    387,585
                        
                                1,181 user
                                411 critic
                        
            

  Rate This123456789100","19 January 2018 (UK)","1h 45min","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"1613480133-1233","https://www.imdb.com/chart/top?ref_=nv_mv_250","Seven Samurai","https://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19","8.6/10                    
                    316,691
                        
                                741 user
                                136 critic
                        
            

  Rate This123456789100","26 April 1954 (Japan)","3h 27min","A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves."
